EN,SV,PLURAL
article request,article request,article request
creating a fund,creating a fund,creating a fund
patron messages,patron messages,patron messages
circulation messages,circulation messages,circulation messages
patron's sort 1 field,patron's sort 1 field,patron's sort 1 field
patron's sort 2 field,patron's sort 2 field,patron's sort 2 field
cataloging and working with items,cataloging and working with items,cataloging and working with items
advanced cataloging editor,advanced cataloging editor,advanced cataloging editor
course reserves,course reserves,course reserves
agreement record,agreement record,agreement record
e-resource management module,e-resource management module,e-resource management module
reporting,reporting,reporting
license record,license record,license record
license,license,license
agreement,agreement,agreement
cancelling holds,cancelling holds,cancelling holds
housebound tab,housebound tab,housebound tab
item type settings,item type settings,item type settings
adding or editing an item,adding or editing an item,adding or editing an item
NewItemsDefaultLocation,NewItemsDefaultLocation,NewItemsDefaultLocation
suggestion form,suggestion form,suggestion form
patron attributes,patron attributes,patron attributes
patron add and edit form,patron add and edit form,patron add and edit form
paying fines,paying fines,paying fines
add new values,add new values,add new values
MARC bibliographic framework,MARC bibliographic framework,MARC bibliographic framework
saved reports page,saved reports page,saved reports page
REPORT\_GROUP,REPORT\_GROUP,REPORT\_GROUP
return claim has been resolved,return claim has been resolved,return claim has been resolved
patron form,patron form,patron form
creating,creating,creating
editing,editing,editing
managing suggestions,managing suggestions,managing suggestions
suggestions,suggestions,suggestions
course reserves module,course reserves module,course reserves module
adding a new course,adding a new course,adding a new course
catalog concerns,catalog concerns,catalog concerns
file uploads,file uploads,file uploads
vendor,vendor,vendor
adding an issue,adding an issue,adding an issue
vendors,vendors,vendors
add a new authorized value to the category,add a new authorized value to the category,add a new authorized value to the category
SUGGEST\_STATUS,SUGGEST\_STATUS,SUGGEST\_STATUS
existing authorized values categories,existing authorized values categories,existing authorized values categories
manage\_patron\_categories permission,manage\_patron\_categories permission,manage\_patron\_categories permission
update\_patrons\_category.pl,update\_patrons\_category.pl,update\_patrons\_category.pl
FeeOnChangePatronCategory,FeeOnChangePatronCategory,FeeOnChangePatronCategory
overdue notice triggers,overdue notice triggers,overdue notice triggers
Tools module,Tools module,Tools module
OpacResetPassword,OpacResetPassword,OpacResetPassword
OpacPasswordChange,OpacPasswordChange,OpacPasswordChange
minPasswordLength,minPasswordLength,minPasswordLength
RequireStrongPassword,RequireStrongPassword,RequireStrongPassword
ForcePasswordResetWhenSetByStaff,ForcePasswordResetWhenSetByStaff,ForcePasswordResetWhenSetByStaff
BlockExpiredPatronOpacActions,BlockExpiredPatronOpacActions,BlockExpiredPatronOpacActions
Placing a hold on an item,Placing a hold on an item,Placing a hold on an item
Placing ILL requests,Placing ILL requests,Placing ILL requests
Renewing an item,Renewing an item,Renewing an item
CheckPrevCheckout,CheckPrevCheckout,CheckPrevCheckout
